Subpopulation 1,Subpopulation 2,Subpopulation 3
489.39602685412297,534.3329176620183,476.27105548385856
489.3960268542134,534.3329176620884,476.2710554836979
489.3960268543039,534.3329176621587,476.2710554835373
489.39602685439434,534.3329176622289,476.27105548337664
489.39602685448483,534.332917662299,476.271055483216
489.3960268545753,534.3329176623691,476.2710554830554
489.39602685466576,534.3329176624393,476.2710554828948
489.39602685475626,534.3329176625094,476.27105548273414
489.3960268548467,534.3329176625796,476.2710554825735
489.3960268549372,534.3329176626497,476.27105548241286
489.3960268550276,534.33291766272,476.2710554822522
489.3960268551181,534.3329176627901,476.27105548209164
489.3960268552086,534.3329176628603,476.271055481931
489.39602685529906,534.3329176629304,476.27105548177036
489.39602685538955,534.3329176630006,476.2710554816097
489.39602685548,534.3329176630707,476.2710554814491
489.3960268555705,534.3329176631408,476.27105548128844
489.3960268556609,534.3329176632111,476.27105548112786
489.3960268557514,534.3329176632813,476.2710554809672
489.39602685584185,534.3329176633514,476.2710554808066
489.39602685593235,534.3329176634215,476.27105548064594
489.39602685602284,534.3329176634917,476.2710554804853
489.3960268561133,534.3329176635618,476.27105548032466
489.3960268562038,534.332917663632,476.2710554801641
489.3960268562942,534.3329176637021,476.27105548000344
